year,occ_desc,sex1,mthly_gross_wage_50_pctile,mthly_basic_wage_50_pctile
2021,fork lift truck operator,all,2062,1900
2021,ships' deck crew and related worker,all,2723,1952
2021,cleaning supervisor,all,2195,1825
2021,cleaner and helper in hotels and related establishments,all,1905,1745
2021,"office, commercial and industrial establishments indoor cleaner",all,1430,1400
2021,"office, commercial and industrial establishments outdoor cleaner",all,1600,1450
2021,"office, commercial and industrial establishments multi-skilled cleaner cum machine operator",all,1500,1400
2021,food and beverage establishments general cleaner,all,1400,1400
2021,dishwasher,all,1442,1442
2021,residential and open areas general cleaner,all,1450,1236
2021,"park, garden and landscape maintenance worker",all,1500,1450
2021,civil engineering/building construction labourer,all,1400,1400
2021,hand packer,all,1450,1400
2021,aircraft loader (e.g. airport baggage/cargo handler),all,2000,1701
2021,warehouse worker,all,2281,1997
2021,vehicle attendant,all,1700,1523
2021,mover,all,1814,1775
2021,kitchen assistant,all,1400,1400
2021,food/drink stall assistant,all,1400,1400
2021,"tea server/steward (excluding bartender, barista and food/drink stall assistant)",all,1400,1400
2021,"general waste collection, recycling and material recovery worker",all,1813,1400
2021,porter and related worker,all,1718,1611
2021,attendant,all,1815,1675
2021,hospital/clinic attendant,all,2037,1772
2021,car park attendant,all,1435,1435
2021,building caretaker/watchman,all,2068,2036
2021,odd job person,all,1400,1400
